학년도,학교급별,학년,성별,키
2016,초,2,남,124.7
2016,초,2,남,114.3
2016,초,2,남,129
2016,초,2,남,136.5
2016,초,2,남,135
2016,초,2,남,128.6
2016,초,2,남,142.3
2016,초,2,남,123.4
2016,초,2,남,131.1
2016,초,2,여,132.1
2016,초,2,여,136.9
2016,초,2,여,125.3
2016,초,2,여,126.1
2016,초,2,여,133
2016,초,2,여,128.3
2016,초,2,여,125.4
2016,초,2,여,127.3
2016,초,2,여,121.6
2016,초,2,여,124.7
2016,초,2,여,125.2
2016,초,2,여,125.6
2016,초,3,남,131.3
2016,초,3,남,141
2016,초,3,남,139.7
2016,초,3,남,135.5
2016,초,3,남,131.4
2016,초,3,남,138
2016,초,3,남,127.9
2016,초,3,남,137.7
2016,초,3,남,143.6
2016,초,3,남,128.9
2016,초,3,남,135.2
2016,초,3,남,127.9
2016,초,3,여,128.2
2016,초,3,여,132
2016,초,3,여,137.4
2016,초,3,여,129.2
2016,초,3,여,130
2016,초,3,여,139.3
2016,초,3,여,133.1
2016,초,3,여,131.1
2016,초,3,여,129.8
2016,초,3,여,122.6
2016,초,3,여,120
2016,초,3,여,133.3
2016,초,4,남,136.2
2016,초,4,남,140.6
2016,초,4,남,136.3
2016,초,4,남,131.8
2016,초,4,남,137.6
2016,초,4,남,133.3
2016,초,4,남,142.4
2016,초,4,남,151.8
2016,초,4,남,135.9
2016,초,4,남,141.6
2016,초,4,남,146.2
2016,초,4,남,136.8
2016,초,4,남,137.6
2016,초,4,남,124.5
2016,초,4,남,138.1
2016,초,4,여,129.7
2016,초,4,여,143.9
2016,초,4,여,138.5
2016,초,4,여,135.8
2016,초,4,여,135.8
2016,초,4,여,135.8
2016,초,4,여,140.3
2016,초,4,여,136.3
2016,초,4,여,133.4
2016,초,4,여,142.9
2016,초,4,여,140.5
2016,초,4,여,136.4
2016,초,4,여,137.4
2016,초,4,여,133.8
2016,초,5,남,137.3
2016,초,5,남,145
2016,초,5,남,144.5
2016,초,5,남,141.3
2016,초,5,남,148.2
2016,초,5,남,143.8
2016,초,5,남,139.7
2016,초,5,남,140.4
2016,초,5,남,137.6
2016,초,5,남,146.2
2016,초,5,남,139.3
2016,초,5,남,142.6
2016,초,5,남,147.5
2016,초,5,여,146.4
2016,초,5,여,153.2
2016,초,5,여,143.5
2016,초,5,여,141.4
2016,초,5,여,158.1
2016,초,5,여,140.2
2016,초,5,여,140.2
2016,초,5,여,140.4
2016,초,5,여,152.2
2016,초,5,여,153.2
2016,초,5,여,150.6
2016,초,5,여,156.6
2016,초,5,여,142.5
2016,초,5,여,138.9
2016,초,5,여,154.6
2016,초,6,남,152.6
2016,초,6,남,150.5
2016,초,6,남,156.2
2016,초,6,남,151.9
2016,초,6,남,146.5
2016,초,6,남,132
2016,초,6,남,169.9
2016,초,6,남,161.6
2016,초,6,남,148.2
2016,초,6,남,142.2
2016,초,6,남,142.2
2016,초,6,남,150.6
2016,초,6,남,147.2
2016,초,6,남,148.5
2016,초,6,남,145.9
2016,초,6,여,156.9
2016,초,6,여,155.9
2016,초,6,여,146.2
2016,초,6,여,149.6
2016,초,6,여,151.2
2016,초,6,여,153.5
2016,초,6,여,145.6
2016,초,6,여,156.4
2016,초,6,여,157.1
2016,초,6,여,147.6
2016,초,6,여,155.5
2016,초,6,여,151.2
2016,초,6,여,160
